createdAt,userName,userLocation,text
2021-03-11 09:36:34,Robert,Nairobi,RT : This country of ours though! So we had 4.2 billion  for MCAs car grant but we have to borrow 5billion to Finance covid-19…
2021-03-11 09:36:34,ايمان,Malaysia,RT : Girls don't want boys. They want the covid vaccine and a nice apartment
2021-03-11 09:36:34,Gaurav0708,,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:33,Mujahid,, It's better to die than asking for vaccine from India. This is height of shamlessness. There shd be… 
2021-03-11 09:36:33,,Untied Kingdom,"   Well then why don’t you say that to your vaccine clinic, not complainin… "
2021-03-11 09:36:33,Gordon Griffiths,Abernethy,"RT : People's Vaccine Day of Action 

Tomorrow, one year since the WHO declared a COVID-19 pandemic, we’re calling on AstraZen…"
2021-03-11 09:36:33,Georgie Boy,Australia,RT : Morrison now saying the vaccine rollout 'is not a race'. I beg to differ. The sooner we are vaccinated the sooner we can sta…
2021-03-11 09:36:33,𝔰,,RT : Girls don't want boys. They want the covid vaccine and a nice apartment
2021-03-11 09:36:33,🇮🇳 𝕬𝖘𝖍𝖎𝖘𝖍 🇮🇳,भारतवर्ष,"RT : Shame on PaidMedia for not talking about 48 Million doses of Vaccine given by India to Rest of the World including ""Dev…"
2021-03-11 09:36:32,Jai Shri Ram,,"RT : Pakistan🇵🇰, the only SAARC country to not seek COVID-19 Vaccine from India, is getting 45 million 🇮🇳 made vaccine Covishiel…"
2021-03-11 09:36:32,Radio TFI (Home of The Taxi Stand Hour),"Queens, NY - Worldwide",Utah mother dies four days after taking second COVID vaccine dose - Fox News 
2021-03-11 09:36:32,अविशा पाखले🇮🇳🇮🇳,"नाशिक, महाराष्ट्र, भारत ",RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:32,a pile of typos in a trench coat,far too online for my own good,RT : forcing someone to tell u their pre-existing medical conditions which made them eligible for the vaccine is a weird thing to do
2021-03-11 09:36:32,TUSHAR BARI,,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:32,जयेश शेठ JAYESH SHETH,"Ahmadabad City, India","RT : Had my first dose of COVID -19 vaccine today amidst smiling &amp; positive faces of  medical staff at the hospital . 
I appea…"
2021-03-11 09:36:31,paracosmist , 𝐬𝐡𝐞/𝐡𝐞𝐫,RT : Not winner relate but should I make a vaccine info thread? 🤔
2021-03-11 09:36:31,Abid. M,"Mumbai, India","RT : Sit down! 
Canada has following supplier agreements for COVID-19 vaccine - 
Pfizer: upto 76 million doses
Moderna: 44m
Astr…"
2021-03-11 09:36:31,Becky,,"RT : Is Gardasil Vaccine Linked to Record Birth Rate Declines? • 

Birth rates in the U.S. started their…"
2021-03-11 09:36:31,Phil Raynolds,Lake District,RT : DANISH HEALTH AUTHORITY SAYS USE OF ASTRAZENECA COVID VACCINE HALTED DUE TO SERIOUS CASES OF BLOOD CLOTS
2021-03-11 09:36:31,Tapu Mondol,"Dhaka, Bangladesh","  send vaccine for Pakistani 

what is your excuse then "
2021-03-11 09:36:31,Vivek Raghuvanshi,Gujarat,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:30,Sarah Anderson  ️,Staffordshire ,"RT : Death within 28 days of a positive test? Covid
Death with 4 days of a vaccine? Complete Coincidence

  …"
2021-03-11 09:36:30,Rahul,,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:30,Krypton B0Y ️🇮🇳️,Krypton, You can have it as a vaccine 
2021-03-11 09:36:30,Debra Louise,,"RT : If a country you have always wanted to visit introduces covid vaccine passports, would you have the vaccine?"
2021-03-11 09:36:30,Katja Saari,Suomi,RT : ️ Danish health authority says use of AstraZeneca covid vaccine halted due to serious cases of blood clots
2021-03-11 09:36:30,Toni Q. Dela Cruz,"mandaluyong city,philippines","RT : Former US Presidents Jimmy Carter, Bill Clinton, George W. Bush, Barack Obama and their respective former first ladies are part o…"
2021-03-11 09:36:29,Jane Darnell,"Heemstede, Netherlands","RT : BREAKING: CONGRESS VOTES TO SEND $1.9 TRILLION COVID RELIEF BILL TO BIDEN'S DESK

—$1,400 stimulus checks
—$300-a-week jobl…"
2021-03-11 09:36:29,Lie Detectors,"EU-wide, starting with Germany, Belgium and Austria","""what kinds of technologies, infrastructures, products and services do online publishers of vaccine misinformation… "
2021-03-11 09:36:29,NeverInTheWorld,"England, United Kingdom","RT : The  is free of charge on the NHS 

You don't need to apply for it, pay to receive it or share your bank detai…"
2021-03-11 09:36:29,karthick,,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
2021-03-11 09:36:29,vijaya singh,,"RT : Shame on PaidMedia for not talking about 48 Million doses of Vaccine given by India to Rest of the World including ""Dev…"
2021-03-11 09:36:29,Egudze,,"RT : Took my 1st COVID 19 Vaccine jab in a DJ style!!

 "
2021-03-11 09:36:28,Lesley Gale,,"RT :   Dr. Bryam Bridle, viral immunologist, University of Gudelph, presentation on COVID vaccines is t…"
2021-03-11 09:36:28,PK,India,"RT : No opposition leader took Covid vaccination until PM Modi  took. After him... Everyone is taking it.

Looks like they have…"
2021-03-11 09:36:28,IT’S ALWAYS PSL SEASON ️️️,The Continent,"RT :   No no no don’t turn down your vaccine. You’re not taking anything from anyone, and most of…"
2021-03-11 09:36:28,himanshu saini,gurgaon,RT : My mother has taken the first dose of the COVID-19 vaccine. I'll will coordinate with BJP Karyakartas under my Lok Sabha c…
