createdAt,userName,userLocation,text
Thu Mar 11 09:39:31 +0000 2021,Catastrophiser ,,RT : I just had an email from  about this and I’m shocked. Having done a few peaceful demos - when my back was re…
Thu Mar 11 09:39:31 +0000 2021,Carpanese Silvano,,"RT : No, non è colpa del Covid, sono anni di tagli al Welfare State che hanno ridotto e porteranno a ridurre l'aspettativa di v…"
Thu Mar 11 09:39:32 +0000 2021,Cope Lugo,"Rúa de Valiño, s/n - Lugo",El Sergas programa un cribado en una aldea y en un edificio de Sarria por un brote de Covid-19  a través de 
Thu Mar 11 09:39:31 +0000 2021,Aftermarket Magazine,UK,"Brexit/COVID-19 issues fade as “clear signs of confidence” grow says AS-PL
 "
Thu Mar 11 09:39:32 +0000 2021,TEMPO.CO,Indonesia,Kementerian Perdagangan mulai melakukan vaksinasi Covid-19 untuk 3.464 karyawan.  
Thu Mar 11 09:39:32 +0000 2021,Radio Q asimir,,"RT : It’s been 48 days and Joe Biden still has not given a press conference.

The President of the United States is in severe…"
Thu Mar 11 09:39:32 +0000 2021,Theoreticalthinker,"Ontario, CA. Ethicist Veganism",RT : One nurse dead and another one  injured as Austria suspends AstraZeneca vaccine 
Thu Mar 11 09:39:32 +0000 2021,Lynne D M Noble,,RT : This looks like an important appeal planned by  - arguing that the Government’s Covid-19 financial supp…
Thu Mar 11 09:39:32 +0000 2021,Justin,,"RT : I went to the hospital thinking I had the flu... doctors said no flu you’re pregnant  
Me: "
Thu Mar 11 09:39:32 +0000 2021,Dorothy Guerrero,"London, England","RT : Suport  for Affordable and Accessible Vaccine !  
  …"
Thu Mar 11 09:39:32 +0000 2021,zhuanshen,,"RT : 最新消息

比尔·盖茨协助中共采集美国人的DNA，以制造特定种族的生物武器

《国家脉搏》报道的一个惊人的进展显示，比尔及梅琳达·盖茨基金会，帮助资助了一家中共军方的幌子公司，该公司以 ""Covid测试 ""为借口，暗中采集美国人的DNA…"
Thu Mar 11 09:39:32 +0000 2021,AndyMac,Amsterdam,"RT : Everyone who signed the ""Do not rollout Covid-19 vaccine passports"" petition should comment on the UK governments propose…"
Thu Mar 11 09:39:32 +0000 2021,Artur,Україна,COVID-19. Самая высокая заболеваемость ожидается в Киеве и восьми областях – прогноз НАН 
Thu Mar 11 09:39:32 +0000 2021,Kunal Dutta,Howrah,RT : 'Strict lockdown' to be enforced in Nagpur from March 15-21 in view of spike in COVID-19 cases: District guardian minister Ni…
Thu Mar 11 09:39:32 +0000 2021,Sol Ryte (Just Vibes),️,"RT :  mRNA died for this, make it count immune systeme "
Thu Mar 11 09:39:32 +0000 2021,franciszek josef,mirocin dolny,"RT : 1. ""Covid to ściema"" - takie plakietki miała z przodu i z tyłu kurtki pani ok. 65 lat w kolejce do kasy w spożywczym. Bez…"
Thu Mar 11 09:39:32 +0000 2021,Yamone Phu Khaing,,"RT : In North Dagon ,a young boy got headshot &amp; died , another was shot into the abdomen &amp; now in emergency. The backpack &amp;…"
Thu Mar 11 09:39:32 +0000 2021,TekBurger™,Pale Blue Dot/127.0.0.1,"RT : 0 Republicans voted for the $1.9 trillion Covid relief bill.

278 Republicans voted for Trump’s $1.9 trillion tax cut for corp…"
